eo,han
nul-,零
unu,一
du,二
tri,三
kvar,四
kvin,五
ses,六
sep,七
ok,八
naŭ,九
dek,十
cent,百
mil,千
milion-,兆
miliard-,吉
aplik-,應用
deĵor-,值班
diabl-,魔
dolar-,釖
drak-,龍
ekspluat-,
ekzempler-,樣品
imperi-,帝國
inspir-,
kelner-,侍
kondut-,
konscienc-,
mojos-,酷
origin-,原
pretend-,宣稱
rev-,夢想
sever-,
sonĝo-,夢
suk-,汁
templ-,庙
versi-,版
