eo,han
nepr-,
neŭtral-,
nev-,
nigr-,黑
nivel-,
nokt-,
nom-,
nombr-,
nord-,北
normal-,
not-,
nov-,新
nu,
nub-,
numer-,
nun,
nur,
o,
obe-,遵
objekt-,
observ-,
odor-,
ofic-,
oft-,頻
okaz-,
okcident-,西
okul-,
okup-,
ol,
ole-,
ond-,
onkl-,叔
opini-,
or-,
ord-,
ordinar-,
ordon-,
orel-,
organiz-,
orient-,東
original-,
ost-,
ov-,
p,
pac-,
pag-,払
paĝ-,頁
pak-,
pan-,
pantalon-,
paper-,
par-,
pardon-,許
park-,
parol-,
part-,
pas-,
past-,
paŝ-,
patr-,
paŭz-,
pec-,塊
pen-,
pend-,
pens-,
pentr-,
per,
perd-,
perfekt-,
period-,
permes-,
person-,
pet-,
pez-,
pied-,腳
pik-,
pilk-,
plaĉ-,
plafon-,
plan-,
plank-,
plant-,
plast-,
plej,
plen-,
plend-,
plezur-,
pli,
plor-,
plu,
plum-,羽
plur-,
plus,
pluv-,
po,
poem-,诗
poent-,
poezi-,
polic-,警
politik-,政
pont-,橋
popol-,
popular-,
por,
pord-,
pork-,
port-,
posed-,
post,
postul-,
poŝ-,兜
poŝt-,郵
pot-,
pov-,
praktik-,
prav-,
precip-,
preciz-,
prefer-,
preĝ-,
preleg-,
prem-,
premi-,
pren-,
prepar-,備
pres-,
preskaŭ,
pret-,
preter,
prez-,
prezent-,
prezid-,
pri,
princip-,
printemp-,春
pro,
problem-,
produkt-,
profesi-,
profund-,
program-,
progres-,
projekt-,
proksim-,近
promen-,
promes-,
propon-,
propr-,
prov-,
prunt-,
publik-,
pun-,
punkt-,
pup-,
pur-,
puŝ-,推
r,
rad-,
radi-,
radik-,根
rajt-,
rakont-,
rand-,
rang-,
rapid-,
raport-,
real-,
recenz-,
redakt-,
redaktor-,
reg-,
region-,
regul-,
reĝ-,王
reklam-,
rekomend-,
rekt-,
religi-,
renkont-,
respekt-,
respond-,
rest-,
ret-,
revu-,
rezult-,
ricev-,
riĉ-,富
rid-,
rigard-,看
rilat-,
rimark-,
rimed-,
ripet-,
ripoz-,
river-,河
riz-,米
rob-,
roman-,
romp-,
rond-,
roz-,
rubrik-,
ruĝ-,紅
rul-,
s,
saĝ-,
sak-,
sal-,
salon-,
salt-,
salut-,
sam-,
san-,
sang-,
sankt-,聖
sat-,
sav-,
sci-,
scienc-,
se,
sed,
seĝ-,
sek-,
sekretari-,
seks-,
sekur-,安
sekv-,
semajn-,周
sen,
senc-,
send-,
sent-,
serĉ-,尋
seri-,
serioz-,
serv-,
sezon-,
sid-,
sign-,
signif-,
silent-,
simil-,
simpl-,簡
sinjor-,
sistem-,
situaci-,
skatol-,
skrib-,
soci-,
soif-,
sol-,
soldat-,兵
solv-,
somer-,夏
son-,
spac-,
spec-,
special-,特
spegul-,
spekt-,
spert-,
spez-,
spic-,
spir-,
spirit-,
sport-,
staci-,站
star-,
stat-,
stel-,
strang-,
strat-,
streĉ-,
stud-,學
student-,
stult-,
sub,
subit-,
sud-,南
sufer-,
sufiĉ-,
sukces-,
suker-,
sum-,
sun-,陽
super,
supoz-,
supr-,
sur,
ŝ,
ŝaf-,羊
ŝajn-,
ŝanc-,
ŝanĝ-,變
ŝat-,好
ŝerc-,
ŝip-,
ŝir-,
ŝlos-,
ŝnur-,
ŝrank-,
ŝtat-,
ŝtel-,
ŝtof-,布
ŝton-,
ŝtup-,
ŝu-,
ŝut-,
t,
tabl-,
tabul-,
tag-,日
tamen,
tas-,
task-,
taŭg-,
te-,
teatr-,
tegment-,
teknik-,
tekst-,
telefon-,
teler-,盘
televid-,
tem-,
temp-,
ten-,
teori-,
ter-,
terur-,
tim-,
tir-,
tond-,剪
tra,
tradici-,
traduk-,譯
traf-,
trakt-,
tranĉ-,
trankvil-,靜
trans,
tre,
trink-,飲
tro,
trov-,
tru-,
tuj,
tuk-,
turism-,
turist-,
turn-,
tuŝ-,
tut-,全
u,
universal-,
universitat-,
urb-,城
util-,用
uz-,使
v,
vagon-,車
valid-,
valor-,
varm-,热
vast-,
vek-,
ven-,
vend-,
venk-,
vent-,
ver-,
verd-,綠
verk-,
verŝ-,
vesper-,
vest-,
veter-,
vetur-,
viand-,
vic-,
vid-,見
vigl-,
