eo,han
prefiksoj,
bo-,義
dis-,散
ek-,開
eks-,前任
ge-,
mal-,否
mis-,誤
pra-,先
re-,再
sufiksoj,
-aĉ-,雜
-ad-,久
-aĵ-,物
-an-,民
-ar-,集
-ebl-,能
-ec-,性
-eg-,巨
-ej-,所
-em-,倾
-end-,應
-er-,粒
-estr-,首
-et-,小
-id-,仔
-ig-,化
-iĝ-,成
-il-,具
-in-,女
-ind-,可
-ing-,持
-ism-,義
-ist-,者
-obl-,倍
-on-,分
-op-,
-uj-,鄉
-ul-,佬
-um-,
