eo,han
Pronomoj,
mi,吾
vi,汝
li,他
ŝi,她
ĝi,它
ni,咱
ili,怹
si,己
oni,
Tabelvortoj,
ki-,何
ti-,彼
ĉi ti-,此
i-,某
ĉi-,每
neni-,無
-o,
-u,
-es,
-a,
-am,
-e,
-al,
-el,
-om,
